Time_ns,RMSD_Backbone_A,RMSD_Core_HE_A,RMSD_BindingSite_A
8.3,1.437353,1.3001323,1.3981564
8.32,1.6016473,1.4549863,1.3544327
8.34,1.6164248,1.467442,1.2240189
8.36,1.6447623,1.5412583,1.2512826
8.38,1.6479919,1.54256,1.3349355
8.4,1.7087648,1.5928397,1.4165758
8.42,1.6946821,1.553695,1.3123317
8.44,1.667036,1.4871322,1.4049548
8.46,1.7430012,1.6201364,1.3231349
8.48,1.681239,1.5728997,1.2272587
8.5,1.7220149,1.6289366,1.2578613
8.52,1.7043326,1.5890205,1.3372327
8.54,1.6430311,1.5229907,1.3191975
8.56,1.6291158,1.4908435,1.297469
8.58,1.669079,1.5151721,1.3451836
8.6,1.6786534,1.512866,1.355335
8.62,1.8284088,1.6759883,1.4606652
8.64,1.6035165,1.469352,1.2144406
8.66,1.767428,1.6341941,1.3366232
8.68,1.6093206,1.4758676,1.1942917
8.7,1.6112274,1.4459449,1.2684586
8.72,1.6953006,1.5558876,1.2886925
8.74,1.7927964,1.7173578,1.4045166
8.76,1.7555237,1.632393,1.2450031
8.78,1.9762342,1.8852363,1.3569779
8.8,1.7826797,1.6588236,1.4302133
8.82,1.8586729,1.7735586,1.4283146
8.84,1.991842,1.8779157,1.3156769
8.86,1.7878394,1.7059212,1.347978
8.88,1.8400044,1.7654481,1.3875438
8.9,1.6773814,1.5918381,1.3343705
8.92,1.6655303,1.5808153,1.3010123
8.94,1.6295754,1.5261827,1.2068497
8.96,1.5827863,1.4869474,1.206088
8.98,1.6907225,1.5667348,1.4368116
9.0,1.6231518,1.5247409,1.1778449
9.02,1.5909506,1.4785291,1.1872438
9.04,1.6202193,1.5061817,1.2555985
9.06,1.692272,1.584342,1.1875286
9.08,1.6397232,1.5363808,1.2433727
9.1,1.5782613,1.4704181,1.2774963
9.12,1.5757204,1.4615284,1.2675356
9.14,1.7919397,1.6748068,1.3559936
9.16,1.7017161,1.6027851,1.4467813
9.18,1.710714,1.6205944,1.3332134
9.2,1.7355305,1.6497993,1.3908515
9.22,1.6428261,1.5261827,1.1532161
9.24,1.5597656,1.4188817,1.2208061
9.26,1.4846146,1.3675143,1.2485704
9.28,1.4454842,1.3337643,1.1756936
9.3,1.5375695,1.4119668,1.2341412
9.32,1.6718136,1.5294038,1.2509913
9.34,1.5946887,1.4593825,1.3526969
9.36,1.7844223,1.5837519,1.4388375
9.38,1.6782517,1.5666472,1.2131191
9.4,1.664136,1.5087533,1.2241251
9.42,1.6538436,1.5285767,1.2230552
9.44,1.8229532,1.7511094,1.3616786
9.46,1.7925458,1.68435,1.3909948
9.48,1.8283474,1.7105887,1.4065089
9.5,1.771639,1.6676672,1.3060405
9.52,1.6119013,1.5245965,1.4057074
9.54,1.5909271,1.4726228,1.4313222
9.56,1.5233791,1.3990958,1.4231458
9.58,1.4897008,1.3394827,1.425094
9.6,1.4344063,1.2892172,1.2029065
9.62,1.4576855,1.3356388,1.3392541
9.64,1.3725622,1.193333,1.2346258
9.66,1.4903039,1.3600755,1.2158034
9.68,1.5276256,1.4026481,1.4271183
9.7,1.3725895,1.2106253,1.2273082
9.72,1.3589634,1.2460346,1.2437282
